filename,class_id,class_name,has_enemy,x_center,y_center,width,height,video_id,frame_idx,timestamp,confidence,auto_labeled,bbox_source,aug_type
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000553.png,1,player,1,0.420517,0.663685,0.140586,0.303936,Party_Girl_Fortnite_Montage [uXGC9gKcheI],553,18.433333,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000553.png,0,enemy,1,0.639096,0.460877,0.087928,0.238728,Party_Girl_Fortnite_Montage [uXGC9gKcheI],553,18.433333,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000554.png,1,player,1,0.434923,0.662027,0.143567,0.302830,Party_Girl_Fortnite_Montage [uXGC9gKcheI],554,18.466666,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000554.png,0,enemy,1,0.649528,0.448719,0.074019,0.205571,Party_Girl_Fortnite_Montage [uXGC9gKcheI],554,18.466666,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000577.png,1,player,1,0.447839,0.750885,0.141580,0.498230,Party_Girl_Fortnite_Montage [uXGC9gKcheI],577,19.233333,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000578.png,1,player,1,0.433681,0.752543,0.137109,0.494914,Party_Girl_Fortnite_Montage [uXGC9gKcheI],578,19.266666,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000579.png,1,player,1,0.439146,0.738175,0.155986,0.523650,Party_Girl_Fortnite_Montage [uXGC9gKcheI],579,19.300000,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000583.png,1,player,1,0.436165,0.742596,0.134128,0.514808,Party_Girl_Fortnite_Montage [uXGC9gKcheI],583,19.433333,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000583.png,0,enemy,1,0.366120,0.608976,0.036761,0.247569,Party_Girl_Fortnite_Montage [uXGC9gKcheI],583,19.433333,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000600.png,1,player,1,0.415797,0.759174,0.159960,0.481652,Party_Girl_Fortnite_Montage [uXGC9gKcheI],600,20.000000,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000600.png,0,enemy,1,0.469200,0.418326,0.053154,0.219939,Party_Girl_Fortnite_Montage [uXGC9gKcheI],600,20.000000,1.0000,False,manual_box,
Party_Girl_Fortnite_Montage [uXGC9gKcheI]_000601.png,0,enemy,1,0.490313,0.531611,0.054645,0.201150,Party_Girl_Fortnite_Montage [uXGC9gKcheI],601,20.033333,1.0000,False,manual_box,
