filename,x_norm,y_norm,video_id,frame_idx,timestamp,confidence,auto_labeled,aug_type
23a466ad-9deb-4892-9cb6-295bf118250f_jpg.rf.17272397d4c73051c43559b662b6a058_aug_original.png,0.486719,0.454630,unknown,0,0.0,1.0000,True,original
23a466ad-9deb-4892-9cb6-295bf118250f_jpg.rf.17272397d4c73051c43559b662b6a058_aug_brightness_0.7.png,0.486719,0.454630,unknown,0,0.0,1.0000,True,brightness_0.7
23a466ad-9deb-4892-9cb6-295bf118250f_jpg.rf.17272397d4c73051c43559b662b6a058_aug_brightness_1.3.png,0.486719,0.454630,unknown,0,0.0,1.0000,True,brightness_1.3
23a466ad-9deb-4892-9cb6-295bf118250f_jpg.rf.17272397d4c73051c43559b662b6a058_aug_noise.png,0.486719,0.454630,unknown,0,0.0,1.0000,True,noise
36465d22-cde2-4d27-b37f-4633cb7e0b75_jpg.rf.0635fb8ed1bef3b2132bb3f1f3d31a77_aug_original.png,0.396094,0.508796,unknown,0,0.0,1.0000,True,original
36465d22-cde2-4d27-b37f-4633cb7e0b75_jpg.rf.0635fb8ed1bef3b2132bb3f1f3d31a77_aug_brightness_0.7.png,0.396094,0.508796,unknown,0,0.0,1.0000,True,brightness_0.7
36465d22-cde2-4d27-b37f-4633cb7e0b75_jpg.rf.0635fb8ed1bef3b2132bb3f1f3d31a77_aug_brightness_1.3.png,0.396094,0.508796,unknown,0,0.0,1.0000,True,brightness_1.3
36465d22-cde2-4d27-b37f-4633cb7e0b75_jpg.rf.0635fb8ed1bef3b2132bb3f1f3d31a77_aug_noise.png,0.396094,0.508796,unknown,0,0.0,1.0000,True,noise
4af9a196-867f-4d7c-8718-12ce256fb4b4_jpg.rf.fc78ed33a6cc9d397c8914c712d33326_aug_original.png,0.540625,0.404630,unknown,0,0.0,1.0000,True,original
4af9a196-867f-4d7c-8718-12ce256fb4b4_jpg.rf.fc78ed33a6cc9d397c8914c712d33326_aug_brightness_0.7.png,0.540625,0.404630,unknown,0,0.0,1.0000,True,brightness_0.7
4af9a196-867f-4d7c-8718-12ce256fb4b4_jpg.rf.fc78ed33a6cc9d397c8914c712d33326_aug_brightness_1.3.png,0.540625,0.404630,unknown,0,0.0,1.0000,True,brightness_1.3
4af9a196-867f-4d7c-8718-12ce256fb4b4_jpg.rf.fc78ed33a6cc9d397c8914c712d33326_aug_noise.png,0.540625,0.404630,unknown,0,0.0,1.0000,True,noise
4c85a10b-54ce-4ae9-99ab-3c322744888e_jpg.rf.6c4b4b1dddff366e97838d3252cccfb7_aug_original.png,0.576562,0.650000,unknown,0,0.0,1.0000,True,original
4c85a10b-54ce-4ae9-99ab-3c322744888e_jpg.rf.6c4b4b1dddff366e97838d3252cccfb7_aug_brightness_0.7.png,0.576562,0.650000,unknown,0,0.0,1.0000,True,brightness_0.7
4c85a10b-54ce-4ae9-99ab-3c322744888e_jpg.rf.6c4b4b1dddff366e97838d3252cccfb7_aug_brightness_1.3.png,0.576562,0.650000,unknown,0,0.0,1.0000,True,brightness_1.3
4c85a10b-54ce-4ae9-99ab-3c322744888e_jpg.rf.6c4b4b1dddff366e97838d3252cccfb7_aug_noise.png,0.576562,0.650000,unknown,0,0.0,1.0000,True,noise
5353ce84-a16a-4dba-8a95-77ed01517dc9_jpg.rf.dc89daf67f2bcaf6c944ab4977ed66e2_aug_original.png,0.532813,0.538889,unknown,0,0.0,1.0000,True,original
5353ce84-a16a-4dba-8a95-77ed01517dc9_jpg.rf.dc89daf67f2bcaf6c944ab4977ed66e2_aug_brightness_0.7.png,0.532813,0.538889,unknown,0,0.0,1.0000,True,brightness_0.7
5353ce84-a16a-4dba-8a95-77ed01517dc9_jpg.rf.dc89daf67f2bcaf6c944ab4977ed66e2_aug_brightness_1.3.png,0.532813,0.538889,unknown,0,0.0,1.0000,True,brightness_1.3
5353ce84-a16a-4dba-8a95-77ed01517dc9_jpg.rf.dc89daf67f2bcaf6c944ab4977ed66e2_aug_noise.png,0.532813,0.538889,unknown,0,0.0,1.0000,True,noise
57ee6e06-59af-4054-8e10-e3c4eb643d57_jpg.rf.620f30befc906a87e98baf880afc6aad_aug_original.png,0.200000,0.817130,unknown,0,0.0,1.0000,True,original
